slug,type,output_path,aspect,prompt,alt_en,alt_ar,alt_ru,kw,cluster,role
owns-worlds-costliest-car-rolls-royce-ownership,inline,public/images/blog/owns-worlds-costliest-car-rolls-royce-ownership-inline.webp,1600x900,"Signature detail of the Rolls-Royce Phantom's Starlight Headliner glowing inside the cabin at night, hand-fitted fibre-optic stars above quilted leather, the rarefied luxury of the costliest car, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A pearl-white Rolls-Royce Phantom beneath the Burj Khalifa at blue hour.","رولز رويس فانتوم بلون أبيض لؤلؤي أسفل برج خليفة في الساعة الزرقاء.","Жемчужно-белый Rolls-Royce Phantom под Бурдж-Халифа в синий час.","who owns the costliest car in the world",BRAND-INFO,Pillar
owns-costliest-car-world-dubai-luxury,cover,public/images/blog/owns-costliest-car-world-dubai-luxury-cover.jpg,1200x630,"A white-gloved chauffeur's hand presenting a key fob on a velvet tray at a five-star Dubai hotel porte-cochere at dusk, a black Rolls-Royce Phantom softly blurred behind, effortless access to the world's finest car, no identifiable face, no price tag, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A gloved chauffeur presents a Rolls-Royce key at a Dubai hotel porte-cochere.","سائق بقفّاز أبيض يقدّم مفتاح رولز رويس عند مدخل فندق فاخر في دبي.","Шофёр в перчатке подаёт ключ Rolls-Royce у входа дубайского отеля.","rolls royce owns costliest car world dubai luxury",BRAND-INFO,Supporting
owns-costliest-car-world-dubai-luxury,inline,public/images/blog/owns-costliest-car-world-dubai-luxury-inline.webp,1600x900,"A concierge desk in a marble Dubai hotel lobby at night, a Rolls-Royce key fob resting beside fresh orchids, a black Phantom visible through glass doors at the porte-cochere beyond, conveying refined access rather than cost, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A gloved chauffeur presents a Rolls-Royce key at a Dubai hotel porte-cochere.","سائق بقفّاز أبيض يقدّم مفتاح رولز رويس عند مدخل فندق فاخر في دبي.","Шофёр в перчатке подаёт ключ Rolls-Royce у входа дубайского отеля.","rolls royce owns costliest car world dubai luxury",BRAND-INFO,Supporting
owns-rolls-royce-ownership-renter,cover,public/images/blog/owns-rolls-royce-ownership-renter-cover.jpg,1200x630,"A serene Rolls-Royce Dawn convertible in champagne-silver, top down, hero three-quarter front view at the Palm Jumeirah crescent at golden hour, sea and skyline soft behind, the Spirit of Ecstasy gleaming, ownership made accessible, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A champagne Rolls-Royce Dawn convertible at Palm Jumeirah at golden hour.","رولز رويس داون مكشوفة بلون شامبانيا عند نخلة جميرا في الساعة الذهبية.","Шампанский кабриолет Rolls-Royce Dawn на Палм-Джумейре в золотой час.","who owns the rolls-royce",BRAND-INFO,Pillar
owns-rolls-royce-ownership-renter,inline,public/images/blog/owns-rolls-royce-ownership-renter-inline.webp,1600x900,"Signature detail of the Rolls-Royce Dawn's open coach door revealing tan leather and a lambswool floor mat, late golden light pouring into the cabin at the Palm Jumeirah waterfront, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A champagne Rolls-Royce Dawn convertible at Palm Jumeirah at golden hour.","رولز رويس داون مكشوفة بلون شامبانيا عند نخلة جميرا في الساعة الذهبية.","Шампанский кабриолет Rolls-Royce Dawn на Палм-Джумейре в золотой час.","who owns the rolls-royce",BRAND-INFO,Pillar
owns-rolls-royce-motor-cars-truth-marque,cover,public/images/blog/owns-rolls-royce-motor-cars-truth-marque-cover.jpg,1200x630,"Dramatic low-angle of the Spirit of Ecstasy and Pantheon grille on a graphite Rolls-Royce Ghost, half in shadow half in warm light, evoking the truth behind the marque, soft blue-hour Dubai skyline blurred far behind, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","Low-angle of the Spirit of Ecstasy on a graphite Rolls-Royce Ghost at blue hour.","زاوية منخفضة لتمثال سيدة النشوة على رولز رويس غوست رمادية في الساعة الزرقاء.","«Дух экстаза» с нижнего ракурса на графитовом Rolls-Royce Ghost в синий час.","owns rolls royce motor cars truth marque dubai",BRAND-INFO,Supporting
owns-rolls-royce-motor-cars-truth-marque,inline,public/images/blog/owns-rolls-royce-motor-cars-truth-marque-inline.webp,1600x900,"A graphite Rolls-Royce Ghost on Sheikh Zayed Road at night, three-quarter rear view, taillights and skyscraper glow reflected in the deep paint, the marque rendered with quiet gravity, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","Low-angle of the Spirit of Ecstasy on a graphite Rolls-Royce Ghost at blue hour.","زاوية منخفضة لتمثال سيدة النشوة على رولز رويس غوست رمادية في الساعة الزرقاء.","«Дух экстаза» с нижнего ракурса на графитовом Rolls-Royce Ghost в синий час.","owns rolls royce motor cars truth marque dubai",BRAND-INFO,Supporting
rolls-royce-ownership,cover,public/images/blog/rolls-royce-ownership-cover.jpg,1200x630,"Heritage workshop tableau, a partly assembled Rolls-Royce Pantheon grille and Spirit of Ecstasy on a felt-lined bench in warm Goodwood-style light, hand tools and a chamois nearby, the craft of ownership and making, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A Rolls-Royce Pantheon grille and Spirit of Ecstasy on a Goodwood-style workbench.","شبك رولز رويس البانثيون وتمثال سيدة النشوة على طاولة عمل بأسلوب غودوود.","Решётка Pantheon и «Дух экстаза» Rolls-Royce на верстаке в духе Goodwood.","rolls royce ownership dubai",BRAND-INFO,Supporting
rolls-royce-ownership,inline,public/images/blog/rolls-royce-ownership-inline.webp,1600x900,"A navy Rolls-Royce Phantom at a Dubai hotel porte-cochere at dusk, three-quarter front view, warm portico lamps reflecting on the bonnet, a calm portrait of what ownership feels like, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A Rolls-Royce Pantheon grille and Spirit of Ecstasy on a Goodwood-style workbench.","شبك رولز رويس البانثيون وتمثال سيدة النشوة على طاولة عمل بأسلوب غودوود.","Решётка Pantheon и «Дух экстаза» Rolls-Royce на верстаке в духе Goodwood.","rolls royce ownership dubai",BRAND-INFO,Supporting
makes-rolls-royce-craftsmanship-phantom,cover,public/images/blog/makes-rolls-royce-craftsmanship-phantom-cover.jpg,1200x630,"Gloved artisan hands laying a hand-painted coachline along the flank of a Rolls-Royce Phantom in a Goodwood-style atelier, a single steady brushstroke, warm task light revealing flawless lacquer, the human craft behind the Phantom, no identifiable face, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","An artisan hand-paints the coachline on a Rolls-Royce Phantom at Goodwood.","حِرفيّ يرسم خط الزينة يدويًا على رولز رويس فانتوم في غودوود.","Мастер вручную наносит декоративную линию на Rolls-Royce Phantom в Goodwood.","who makes rolls royce",BRAND-INFO,Pillar
makes-rolls-royce-craftsmanship-phantom,inline,public/images/blog/makes-rolls-royce-craftsmanship-phantom-inline.webp,1600x900,"Signature detail of the Rolls-Royce Phantom's Gallery dashboard with commissioned artwork behind glass and burr-walnut veneer, soft cabin light, the pinnacle of the marque's craftsmanship, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","An artisan hand-paints the coachline on a Rolls-Royce Phantom at Goodwood.","حِرفيّ يرسم خط الزينة يدويًا على رولز رويس فانتوم في غودوود.","Мастер вручную наносит декоративную линию на Rolls-Royce Phantom в Goodwood.","who makes rolls royce",BRAND-INFO,Pillar
makes-rolls-royce-cars-goodwood-workshop,cover,public/images/blog/makes-rolls-royce-cars-goodwood-workshop-cover.jpg,1200x630,"Wide reverent view inside a Goodwood-style Rolls-Royce workshop, a Ghost body on a softly lit assembly bay, craftsmen's benches with leather hides and veneer panels, dust-free hush and warm light, where the cars are made, no identifiable faces, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A Rolls-Royce Ghost on the assembly bay inside a Goodwood-style workshop.","رولز رويس غوست في خط التجميع داخل ورشة بأسلوب غودوود.","Rolls-Royce Ghost на сборочной площадке в мастерской в духе Goodwood.","makes rolls royce cars goodwood workshop dubai",BRAND-INFO,Supporting
makes-rolls-royce-cars-goodwood-workshop,inline,public/images/blog/makes-rolls-royce-cars-goodwood-workshop-inline.webp,1600x900,"Detail of gloved hands fitting a polished Spirit of Ecstasy mascot onto a Rolls-Royce bonnet at a Goodwood-style station, precise alignment under warm light, the final touch of manufacture, no identifiable face, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A Rolls-Royce Ghost on the assembly bay inside a Goodwood-style workshop.","رولز رويس غوست في خط التجميع داخل ورشة بأسلوب غودوود.","Rolls-Royce Ghost на сборочной площадке в мастерской в духе Goodwood.","makes rolls royce cars goodwood workshop dubai",BRAND-INFO,Supporting
makes-rolls-royce-meet-marque-dubais-icons,cover,public/images/blog/makes-rolls-royce-meet-marque-dubais-icons-cover.jpg,1200x630,"A commanding Rolls-Royce Cullinan SUV in matte sand-beige, hero three-quarter front view at the desert edge outside Dubai at golden hour, dunes rolling behind, upright Pantheon grille and Spirit of Ecstasy, the marque meeting the landscape, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A sand-beige Rolls-Royce Cullinan at the Dubai desert edge at golden hour.","رولز رويس كولينان بلون رملي عند حافة صحراء دبي في الساعة الذهبية.","Песочный Rolls-Royce Cullinan на краю дубайской пустыни в золотой час.","makes rolls royce meet marque icons dubai",BRAND-INFO,Supporting
makes-rolls-royce-meet-marque-dubais-icons,inline,public/images/blog/makes-rolls-royce-meet-marque-dubais-icons-inline.webp,1600x900,"Signature detail of the Rolls-Royce Cullinan's rear with the Viewing Suite deck open, fine leather seats facing the dunes at dusk, the icon's craftsmanship in context, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A sand-beige Rolls-Royce Cullinan at the Dubai desert edge at golden hour.","رولز رويس كولينان بلون رملي عند حافة صحراء دبي في الساعة الذهبية.","Песочный Rolls-Royce Cullinan на краю дубайской пустыни в золотой час.","makes rolls royce meet marque icons dubai",BRAND-INFO,Supporting
owned-rolls-royce-timeline-royce-bmw,cover,public/images/blog/owned-rolls-royce-timeline-royce-bmw-cover.jpg,1200x630,"A timeless profile of a black Rolls-Royce Phantom silhouetted against a soft champagne-gold Dubai sky at golden hour, long classic lines evoking decades of heritage and changing ownership, the Spirit of Ecstasy a constant, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A black Rolls-Royce Phantom in classic profile against a golden Dubai sky.","رولز رويس فانتوم سوداء بطلّة جانبية كلاسيكية أمام سماء دبي الذهبية.","Чёрный Rolls-Royce Phantom в классическом профиле на фоне золотого неба Дубая.","who owned rolls royce",BRAND-INFO,Pillar
owned-rolls-royce-timeline-royce-bmw,inline,public/images/blog/owned-rolls-royce-timeline-royce-bmw-inline.webp,1600x900,"Macro of the engraved Spirit of Ecstasy base and bonnet seam in warm raking light, fine metalwork and patina suggesting a long lineage, a quiet emblem across ownership eras, no people, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 16:9","A black Rolls-Royce Phantom in classic profile against a golden Dubai sky.","رولز رويس فانتوم سوداء بطلّة جانبية كلاسيكية أمام سماء دبي الذهبية.","Чёрный Rolls-Royce Phantom в классическом профиле на фоне золотого неба Дубая.","who owned rolls royce",BRAND-INFO,Pillar
owned-rolls-royce-through-history-ownership,cover,public/images/blog/owned-rolls-royce-through-history-ownership-cover.jpg,1200x630,"A stately silver Rolls-Royce Phantom at the marble entrance of a heritage-style Dubai hotel at golden hour, three-quarter front view, the timeless Pantheon grille catching warm light, a portrait of enduring ownership through history, no people, no readable plate, cinematic editorial photography, photorealistic, shallow depth of field, refined warm-neutral color grade with deep blacks and champagne-gold accents, soft natural light, anamorphic feel, 8k, ultra-detailed, no text, no watermark --ar 1200:630","A silver Rolls-Royce Phantom at a heritage Dubai hotel entrance at golden hour.","رولز رويس فانتوم فضّية أمام مدخل فندق تراثي في دبي في الساعة الذهبية.","Серебристый Rolls-Royce Phantom у входа исторического дубайского отеля в золотой час.","owned rolls royce through history ownership dubai",BRAND-INFO,Supporting
